"","x"
"1138","SCAMP3"
"1139","CLK2"
"1140","HCN3"
"1141","PKLR"
"1142","FDPS"
"1143","RUSC1"
"1144","ASH1L"
"1145","MSTO1"
"1146","YY1AP1"
"1147","DAP3"
"1148","GON4L"
"1149","SYT11"
"1150","RIT1"
"1151","KIAA0907"
"1152","RXFP4"
"1153","ARHGEF2"
"1154","SSR2"
"1155","UBQLN4"
"1156","LAMTOR2"
"1157","RAB25"
"1158","MEX3A"
"1159","LMNA"
"1160","SEMA4A"
"1161","SLC25A44"
"1162","PMF1"
"1163","BGLAP"
"1164","PAQR6"
"1165","SMG5"
"1166","TMEM79"
"1167","CCT3"
"1168","TSACC"
"1169","RHBG"
"1170","C1orf61"
"1171","MEF2D"
"1172","IQGAP3"
"1173","TTC24"
"1174","GPATCH4"
"1175","HAPLN2"
"1176","BCAN"
"1177","NES"
"1178","CRABP2"
"1179","ISG20L2"
"1180","RRNAD1"
"1181","MRPL24"
"1182","HDGF"
"1183","PRCC"
"1184","SH2D2A"
"1185","NTRK1"
"1186","INSRR"
"1187","PEAR1"
"1188","LRRC71"
"1189","ARHGEF11"
"1190","ETV3"
"1191","FCRL5"
"1192","FCRL3"
"1193","FCRL2"
"1194","FCRL1"
"1195","CD5L"
"1196","KIRREL"
"1197","CD1D"
"1198","CD1A"
"1199","CD1C"
"1200","CD1E"
"1201","SPTA1"
"1202","MNDA"
"1203","PYHIN1"
"1204","IFI16"
"1205","AIM2"
"1206","CADM3"
"1207","ACKR1"
"1208","FCER1A"
"1209","CRP"
"1210","DUSP23"
"1211","FCRL6"
"1212","SLAMF8"
"1213","C1orf204"
"1214","VSIG8"
"1215","CFAP45"
"1216","TAGLN2"
"1217","IGSF9"
"1218","SLAMF9"
"1219","KCNJ10"
"1220","PIGM"
"1221","KCNJ9"
"1222","IGSF8"
"1223","ATP1A2"
"1224","ATP1A4"
"1225","CASQ1"
"1226","PEA15"
"1227","PEX19"
"1228","COPA"
"1229","NCSTN"
"1230","NHLH1"
"1231","VANGL2"
"1232","SLAMF6"
"1233","CD84"
"1234","SLAMF1"
"1235","CD48"
"1236","SLAMF7"
"1237","LY9"
"1238","CD244"
"1239","ITLN1"
"1240","ITLN2"
"1241","F11R"
"1242","TSTD1"
"1243","USF1"
"1244","ARHGAP30"
"1245","KLHDC9"
"1246","PFDN2"
"1247","NIT1"
"1248","DEDD"
"1249","UFC1"
"1250","USP21"
"1251","PPOX"
"1252","B4GALT3"
"1253","ADAMTS4"
"1254","NDUFS2"
"1255","FCER1G"
"1256","APOA2"
"1257","TOMM40L"
"1258","NR1I3"
"1259","PCP4L1"
"1260","MPZ"
"1261","SDHC"
"1262","FCGR2A"
"1263","HSPA6"
"1264","FCGR3A"
"1265","FCGR3B"
"1266","FCGR2B"
"1267","FCRLA"
"1268","FCRLB"
"1269","DUSP12"
"1270","ATF6"
"1271","OLFML2B"
"1272","NOS1AP"
"1273","C1orf226"
"1274","SH2D1B"
"1275","UHMK1"
"1276","UAP1"
"1277","DDR2"
"1278","HSD17B7"
"1279","RGS4"
"1280","RGS5"
"1281","RGS5"
"1282","NUF2"
"1283","PBX1"
"1284","LMX1A"
"1285","RXRG"
"1286","MGST3"
"1287","ALDH9A1"
"1288","TMCO1"
"1289","UCK2"
"1290","FAM78B"
"1291","POGK"
"1292","TADA1"
"1293","ILDR2"
"1294","MAEL"
"1295","GPA33"
"1296","DUSP27"
"1297","POU2F1"
"1298","CD247"
"1299","CREG1"
"1300","RCSD1"
"1301","MPZL1"
"1302","ADCY10"
"1303","MPC2"
"1304","DCAF6"
"1305","GPR161"
"1306","TIPRL"
"1307","SFT2D2"
"1308","TBX19"
"1309","XCL2"
"1310","XCL1"
"1311","DPT"
"1312","ATP1B1"
"1313","NME7"
"1314","BLZF1"
"1315","CCDC181"
"1316","SLC19A2"
"1317","F5"
"1318","SELP"
"1319","C1orf112"
"1320","SELL"
"1321","SELE"
"1322","METTL18"
"1323","SCYL3"
"1324","KIFAP3"
"1325","GORAB"
"1326","PRRX1"
"1327","FMO3"
"1328","FMO6P"
"1329","FMO2"
"1330","FMO1"
"1331","FMO4"
"1332","PRRC2C"
"1333","MYOC"
"1334","VAMP4"
"1335","METTL13"
"1336","DNM3"
"1337","PIGC"
"1338","C1orf105"
"1339","SUCO"
"1340","FASLG"
"1341","TNFSF18"
"1342","TNFSF4"
"1343","PRDX6"
"1344","SLC9C2"
"1345","ANKRD45"
"1346","KLHL20"
"1347","CENPL"
"1348","DARS2"
"1349","ZBTB37"
"1350","SERPINC1"
"1351","RC3H1"
"1352","RABGAP1L"
"1353","GPR52"
"1354","CACYBP"
"1355","MRPS14"
"1356","TNN"
"1357","KIAA0040"
"1358","TNR"
"1359","RFWD2"
"1360","PAPPA2"
"1361","ASTN1"
"1362","BRINP2"
"1363","SEC16B"
"1364","RASAL2"
"1365","TEX35"
"1366","RALGPS2"
