,x,0
3219,WDR82,3.2682776
15406,TRPC4AP,3.2684224
15953,SF3A1,3.2685838
1818,PUM2,3.2686584
12120,CREBBP,3.2687225
7124,RAB2A,3.2688634
4987,NDFIP1,3.268888
6996,DPYSL2,3.2692068
10535,DYNLL1,3.2697039
13365,CDK5RAP3,3.2701516
12072,RNPS1,3.2701848
147,VPS13D,3.2709816
693,ZRANB2,3.2711735
8766,IFITM2,3.271354
3490,COPG1,3.272071
10567,CLIP1,3.273177
12000,RHOT2,3.2732747
5037,NDST1,3.273554
7990,RAPGEF1,3.2747712
12061,TSC2,3.2751174
4840,AFF4,3.2759714
1412,TPR,3.2767534
10589,TMED2,3.2771957
377,EIF3I,3.2772646
2850,STK25,3.2774549
14137,MLLT1,3.2775645
4977,DIAPH1,3.2777722
742,SH3GLB1,3.2781045
7680,UBQLN1,3.2783663
8073,ABCA2,3.2785034
6945,ATP6V1B2,3.278614
12980,SREBF1,3.2788336
9177,GANAB,3.2812145
4141,AFF1,3.28169
10900,ARHGEF7,3.281888
16097,ZC3H7B,3.282038
10437,CORO1C,3.2822711
2088,ZNF638,3.2824607
8460,PTEN,3.2824733
6632,LAMB1,3.282481
2931,TMEM43,3.283178
14338,PRKACA,3.283325
7936,CIZ1,3.2835307
2516,ATP5G3,3.2835922
105,H6PD,3.2838714
10495,TPCN1,3.2846148
4261,KIAA1109,3.285004
11133,LGALS3,3.285319
9196,SLC3A2,3.285382
2282,RANBP2,3.2854366
8596,GBF1,3.2864091
2818,LRRFIP1,3.286458
9779,CD9,3.2870343
14143,KHSRP,3.287157
7087,CEBPD,3.287842
16180,TUBGCP6,3.2888367
13999,POLR2E,3.2891417
7596,GBA2,3.2894492
8633,ADD3,3.2895534
10461,ARPC3,3.2895696
16656,LAMP2,3.2895792
3126,SHISA5,3.2896159
10012,HDAC7,3.2899284
3782,TNK2,3.290091
15855,PI4KA,3.2901669
15776,PDXK,3.290394
3625,CCNL1,3.2921617
3820,GAK,3.29286
3859,LRPAP1,3.2929888
14637,PSMD8,3.2932582
7405,EEF1D,3.2933512
3447,MYLK,3.2935395
11089,RPL36AL,3.293602
15606,PSMA7,3.29374
7275,UBR5,3.2946672
10075,METTL7A,3.294766
222,DDOST,3.2948606
6153,KDELR2,3.295113
8401,ZSWIM8,3.295858
10092,NR4A1,3.2958648
5260,TXNDC5,3.2958958
8003,RALGDS,3.2964199
9778,VWF,3.2964852
6619,NAMPT,3.2967818
13303,HDAC5,3.2968106
11563,VPS39,3.297839
13171,LASP1,3.2979681
15088,KIR2DL1,3.2983081
15375,ASXL1,3.2993634
13516,PECAM1,3.2994807
14341,PKN1,3.299817
12492,DYNC1LI2,3.2998617
2024,AHSA2,3.3003042
1845,RAB10,3.3003397
4848,PPP2CA,3.3004167
2525,NFE2L2,3.3005743
8900,IPO7,3.3006885
579,CMPK1,3.3008928
16370,WDR13,3.3022969
10188,SMARCC2,3.303167
8145,ATP5C1,3.303372
12961,NCOR1,3.3038874
206,NBL1,3.3050246
15679,ADAMTS1,3.3062036
1153,SSR2,3.3062987
7088,PRKDC,3.3067398
9083,FNBP4,3.3070529
6237,TAX1BP1,3.3072722
16357,TIMP1,3.3073802
1486,PRELP,3.3083932
7441,VPS28,3.3085425
7868,RAB14,3.3087807
6867,RBM33,3.3088775
5231,SERPINB6,3.3092659
1028,PSMD4,3.3094485
10540,MLEC,3.3096092
